GTIN,Manufacturer Name,Brand,Volume,Volume Code,namePublicLong,namePublicShort,functionalName,typePackaging,useableUnits,ratioAlcohol,packagingInformationList,countryOfOriginList,kind,varietalDesignationList,productbenefits,vineyardRegion,vintage
00087872638531,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Mango Chili White Wine 750 ml,"Spice up your next party with our new Stella Rosa Mango Chili White Wine. This semi-sweet, semi-sparkling wine is made with a proprietary blend of primarily the Moscato D’Asti grape with natural flavors of ripe tropical mango and spicy chili. This bold flavor is sure to impress. Serve chilled, pour over ice, or mix with your favorite spirit in a cocktail.",,PACK,18,5.0,,USA,"Wine, champagne & sparkling wine",Other White,,Piedmont,2023.0
00087872633901,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Green Apple Semi-Sweet White Wine 750 ml,"Stella Rosa Green Apple Semi-Sweet White Wine is a proprietary special blend of several aromatic grape varietals including Muscat Canelli. The wine is then combined with all-natural flavors of ripe green apple to create a delicious and refreshing experience. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail. Awarded Double Gold from the WSWA Wine Tasting Competition and 92 points Gold Medal Winner from Los Angeles Wine Competition.",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other White,,Piedmont,2023.0
00087872056137,San Antonio Winery Inc.,San Simeon,750.0,mL,San Simeon Paso Robles Cabernet Sauvignon Red Wine 750 ml,"San Simeon Cabernet Sauvignon was aged in a selection of 78% new French and American Oak barrels. We source our barrels from several coopers and forests to add complexity to the finished wine. This is a high intensity Cabernet with bright color and robust flavors of blackberry, plum and black cherry. The mid palate is round, rich and spicy, with soft, well-integrated tannins that are nicely balanced with fresh acidity. This is a deeply satisfying Cabernet with a long, round finish. Sustainability is a top priority at San Simeon. Our Paso Robles Vineyards are certified sustainable by the rigorous California Sustainable Wine Alliance (CSWA).",,PACK,12,14.5,,USA,"Wine, champagne & sparkling wine",Cabernet Sauvignon,,Central Valley,2022.0
00087872638067,San Antonio Winery Inc.,Stella Rosa,187.0,mL,Stella Rosa Imperiale Rosso Lux Sparkling Red Wine 2Pk/187 ml,"Stella Rosa Rosso Lux Sparkling Red Wine is a proprietary blend of several Italian red grape varietals including Brachetto. The wine is then combined with natural flavors of strawberries and redberries to create a delicious and refreshing experience. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail.",,PACK,12,6.5,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872638173,San Antonio Winery Inc.,Stella Rosa,187.0,mL,Stella Rosa Peach Semi-Sweet White Wine 2Pk/187 ml,"Stella Rosa Peach Semi-Sweet White Wine is a proprietary blend primarily from the Moscato grape with various other varietals. The wine is then combined with all-natural flavors of peach to create a delicious and refreshing experience. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail. 91 point Gold Medal Winner and Best Buy on Tastings.com!",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other White,,Piedmont,2023.0
00087872638142,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Peach Kosher White Wine 750 ml,"Stella Rosa Peach Semi-Sweet White Wine is crafted from a proprietary blend that predominantly features Moscato grapes, along with a selection of other varietals. Infused with the authentic essence of ripe peaches, this wine offers a delightful and refreshing flavor profile. Ideal for serving chilled, over ice, or as a base for fruit-forward cocktails. ",,PACK,12,5.5,,USA,"Wine, champagne & sparkling wine",Moscato,,Piedmont,2023.0
00087872639507,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Pinot Grigio Italian White Wine 750 ml,"Our new Stella Rosa Pinot Grigio was born from rich grapes grown in the beautiful valleys near the Trentino mountains. Straw-yellow colored, this Pinot Grigio is crisp and dry, with flavors of honey, green apple and pear, created to be served chilled and at 12% ABV. Perfect with appetizers, grilled chicken, and salads.",,PACK,12,12.0,,USA,"Wine, champagne & sparkling wine",Pinot Grigio,,Piedmont,2023.0
00087872634465,San Antonio Winery Inc.,Stella Rosa,1.5,L,Stella Rosa Rosso Semi-Sweet Red Wine 1.5 L,"Stella Rosa Rosso Semi-Sweet Red Wine is a proprietary blend of several red grape varietals including Brachetto.The wine is then combined with all-natural flavors of strawberry and red berry to create a delicious and refreshing experience. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all natural, fruit-forward cocktail. 90 points Gold Medal Winner and Best Buy on Tastings.com",,PACK,6,5.5,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872683111,San Antonio Winery Inc.,Stella Rosa,250.0,mL,Stella Rosa Ruby Rose Grapefruit Semi-Sweet Rose Wine 2Pk/250 ml,"Stella Rosa Semi-Sparkling Ruby Rose Grapefruit Red Wineis a proprietary blend of several white grape varietals including malvasia, moscato, and a touch of barbera for color. The wine has natural flavors of grapefruit that are created using a distillation process of Italian grapefruits grown in southern Italy. Its natural acidity and low pH strike the perfect balance with the wine’s inherent sweetness. It is not cloying or heavy. Serve chilled by the glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail.",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872684033,San Antonio Winery Inc.,Stella Rosa,250.0,mL,"Stella Rosa Tropical Splash Semi-Sweet Wine Variety Pack: Watermelon, Pineapple, Grapefruit, Blueberry 8pk/250 ml","Stellabrate the summer or gather friends and family around with this variety pack! This variety pack contains America's favorite semi-sweet, semi-sparkling wine that's 100% naturally flavored using real fruit distillates and world class Moscato D'Asti, Brachetto D'Acqui, and Barbera grapes. Ease to take to a party with single servings for one and all alike!",,PACK,8,5.0,,USA,"Wine, champagne & sparkling wine",Other White,,Piedmont,2023.0
00087872233019,San Antonio Winery Inc.,San Simeon,750.0,mL,San Simeon Paso Robles Viognier White Wine 750 ml,"San Simeon Viognier is a bright, luscious wine with ripe peach flavors and tropical notes. The nose reveals bright floral aromas. Mineral notes express the rocky terroir of the vineyard. This structured and well-balanced wine shows a lengthy finish. Enjoy San Simeon Viognier with Chinese chicken salad or linguine and clams!",,PACK,12,14.3,,USA,"Wine, champagne & sparkling wine",Viognier,,Central Valley,2023.0
00087872630252,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Imperiale Prosecco DOC Sparkling White Wine 750 ml,"Our delicious Prosecco is sourced at a small estate in Selva del Montello, in the Treviso Prosecco wine region. The vineyards are located between Venice and the Italian Alps, where gentle hillsides are the home of the Glera grapes used in Prosecco. Warm days and cool nights coupled with a mineral laden soil add the perfect marriage of fruit and acidity. With delightful tastes of golden apples, tropical fruit, and wildflowers, Stella Rosa Prosecco is the perfect companion to seafood, salad or dessert. You can also enjoy a glass of this delicate sparkling wine on its own. Salute!",,PACK,12,11.0,,USA,"Wine, champagne & sparkling wine",Glera/Prosecco,,Piedmont,2023.0
00087872634502,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Strawberry Rose Semi-Sweet Rose Wine 750 ml,"Stella Rosa Strawberry Rosé is a proprietary blend of several red grape varietals including Brachetto. The wine is combined with natural flavors of an off-dry Rosé, bursting with mountain berries and rose petal flavors. The Riboli family uses this technique to create an refreshing wine, busting with fresh flavors. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all natural, fruit-forward cocktail.",,PACK,12,6.5,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
