GTIN,Manufacturer Name,Brand,Volume,Volume Code,Name Public Long,Name Public Short,Functional Name,Packaging Type Code,Useable Units,Ratio Alcohol,Packaging Information,Country of Origin,Alcohol Kind
10872291280433,,Briottet,700.0,mL,Edmond Briottet Creme de Mure 700 ML,Edmond Briottet Creme de Mure 700 ML,,EACH,6,18.0,,USA,Ports and liqueurs
10872291911924,,Hine,750.0,mL,Hine H by Hine VSOP +2 glasses VAP 750 ML,Hine H by Hine VSOP +2 glasses VAP 750 ML,,EACH,6,40.0,,USA,Spirits
10087229191075,,Hine,750.0,mL,Hine Fine Champagne Cognac Vsop Rare the Original 750 ML,Hine Fine Champagne Cognac Vsop Rare the Original 750 ML,,EACH,6,40.0,,USA,Spirits
10872291280679,,Briottet,700.0,mL,Edmond Briottet Creme de Banane 700 ML,Edmond Briottet Creme de Banane 700 ML,,EACH,6,25.0,,USA,Ports and liqueurs
23760107310013,,Hine,750.0,mL,Hine Domaine Bonneuil 2006 750 ML,Hine Domaine Bonneuil 2006 750 ML,,EACH,6,42.8,,USA,Spirits
10632070100914,,Speyburn,750.0,mL,Speyburn Single Malt Scotch Arranta Casks 750 ML,Speyburn Single Malt Scotch Arranta Casks 750 ML,,EACH,6,46.0,,USA,Whisky & Bourbon
10872291280501,,Briottet,700.0,mL,Edmond Briottet Creme de Bergamote 700 ML,Edmond Briottet Creme de Bergamote 700 ML,,EACH,6,18.0,,USA,Ports and liqueurs
18852388000696,,Mekhong,750.0,mL,Mekhong Spirit of Thailand Liqueur 750 ML,Mekhong Spirit of Thailand Liqueur 750 ML,,EACH,12,35.0,,USA,Ports and liqueurs
10872291280365,,Briottet,700.0,mL,Edmond Briottet Creme de Framboise 700 ML,Edmond Briottet Creme de Framboise 700 ML,,EACH,6,18.0,,USA,Ports and liqueurs
17750323000156,,BarSol,700.0,mL,BarSol Pisco Mosto Verde Italia 700 ML,BarSol Pisco Mosto Verde Italia 700 ML,,EACH,6,41.8,,USA,Spirits
10872291280129,,Briottet,700.0,mL,Edmond Briottet Creme de Cassis 700 ML,Edmond Briottet Creme de Cassis 700 ML,,EACH,6,20.0,,USA,Ports and liqueurs
03760107310057,,Hine,750.0,mL,Hine Grande Champagne Cognac Talent de Thomas Hine 80 W/ 4 Glass 750 ML,Hine Grande Champagne Cognac Talent de Thomas Hine 80 W/ 4 Glass 750 ML,,EACH,1,40.0,,USA,Spirits
18000353008042,,Luxardo,750.0,mL,Luxardo Amaro Abano 750 ML,Luxardo Amaro Abano 750 ML,,EACH,12,30.0,,USA,Ports and liqueurs
18000353000046,,Luxardo,750.0,mL,Luxardo Sambuca Dei Cesari 750 ML,Luxardo Sambuca Dei Cesari 750 ML,,EACH,12,38.0,,USA,Ports and liqueurs
10087229127661,,Luxardo,750.0,mL,Luxardo Sour Cherry Flavored Gin 750 ML,Luxardo Sour Cherry Flavored Gin 750 ML,,EACH,6,37.5,,USA,"Vodka, gin, tequila"
17750323000101,,BarSol,700.0,mL,BarSol Pisco Acholado 700 ML,BarSol Pisco Acholado 700 ML,,EACH,6,41.3,,USA,Spirits
18000353003313,,Luxardo,1000.0,mL,Luxardo Triple Sec Tripl 1 L,Luxardo Triple Sec Tripl 1 L,,EACH,12,39.0,,USA,Ports and liqueurs
18000353001517,,Luxardo,750.0,mL,Luxardo Premium Italian Espresso Coffee Liqueur 750 ML,Luxardo Premium Italian Espresso Coffee Liqueur 750 ML,,EACH,12,27.0,,USA,Ports and liqueurs
10872291279925,,Luxardo,750.0,mL,Luxardo Perl A Dry Maraschino Riserva Bicentenario 750 ML,Luxardo Perl A Dry Maraschino Riserva Bicentenario 750 ML,,EACH,1,40.0,,USA,Spirits
18000353006246,,Luxardo,750.0,mL,Luxardo Grappa Euganea - Frosted Bottle 750 ML,Luxardo Grappa Euganea - Frosted Bottle 750 ML,,EACH,12,40.0,,USA,Spirits
18000353300016,,Luxardo,750.0,mL,Luxardo Aperitif Bitter 750 ML,Luxardo Aperitif Bitter 750 ML,,EACH,12,25.0,,USA,"Sweet wine, Porto, bitters"
18000353000084,,Luxardo,750.0,mL,Luxardo Apricot Liqueur 750 ML,Luxardo Apricot Liqueur 750 ML,,EACH,12,30.0,,USA,Ports and liqueurs
18000353000015,,Luxardo,750.0,mL,Luxardo Maraschino Originale 750 ML,Luxardo Maraschino Originale 750 ML,,EACH,12,32.0,,USA,Ports and liqueurs
18000353000299,,Luxardo,750.0,mL,Luxardo Amaretto di Saschira 750 ML,Luxardo Amaretto di Saschira 750 ML,,EACH,12,24.0,,USA,Ports and liqueurs
18000353006680,,Luxardo,750.0,mL,Luxardo Limoncello 750 ML,Luxardo Limoncello 750 ML,,EACH,12,27.0,,USA,Ports and liqueurs
10872291279857,,Luxardo,750.0,mL,LUXARDO Antico 750 ML,LUXARDO Antico 750 ML,,EACH,6,16.5,,USA,Ports and liqueurs
18000353003542,,Luxardo,750.0,mL,Luxardo Aperitivo 750 ML,Luxardo Aperitivo 750 ML,,EACH,12,11.0,,USA,Ports and liqueurs
18000353200026,,Luxardo,750.0,mL,Luxardo Cherry Liqueur Sangue Morlacco 750 ML,Luxardo Cherry Liqueur Sangue Morlacco 750 ML,,EACH,12,30.0,,USA,Ports and liqueurs
10872291275101,,Luxardo,750.0,mL,Luxardo London Dry Gin 750 ML,Luxardo London Dry Gin 750 ML,,EACH,6,43.0,,USA,"Vodka, gin, tequila"
10898498001053,,Denizen,750.0,mL,Denizen Dark Rum Vatted 100 750 ML,Denizen Dark Rum Vatted 100 750 ML,,EACH,6,50.0,,USA,Rum
18000353003641,,Luxardo,750.0,mL,Luxardo Triple Sec Triplum 750 ML,Luxardo Triple Sec Triplum 750 ML,,EACH,12,39.0,,USA,Ports and liqueurs
10632070101409,,Balblair,750.0,mL,Balblair Single Malt Scotch 12 YO 750 ML,Balblair Single Malt Scotch 12 YO 750 ML,,EACH,6,46.0,,USA,Whisky & Bourbon
10632070101423,,Balblair,750.0,mL,Balblair Single Malt Scotch 18 YO 750 ML,Balblair Single Malt Scotch 18 YO 750 ML,,EACH,6,46.0,,USA,Whisky & Bourbon
10632070101560,,Balblair,750.0,mL,Balblair Single Malt Scotch 25 YO 750 ML,Balblair Single Malt Scotch 25 YO 750 ML,,EACH,3,46.0,,USA,Whisky & Bourbon
10898498001015,,Denizen,750.0,mL,Denizen Rum Aged White 750ML,Denizen Rum Aged White 750ML,,EACH,6,40.0,,USA,Rum
10632070101416,,Balblair,750.0,mL,Balblair Single Malt Scotch 15 YO 750 ML,Balblair Single Malt Scotch 15 YO 750 ML,,EACH,6,46.0,,USA,Whisky & Bourbon
14904230049309,,Nikka,750.0,mL,Nikka Coffey Vodka 750 ML,Nikka Coffey Vodka 750 ML,,EACH,6,45.0,,USA,"Vodka, gin, tequila"
10898498001046,,Denizen,750.0,mL,Denizen Rum Merchants Reserve,Denizen Rum Merchants Reserve,,EACH,6,43.0,,USA,Rum
04710085219544,,Kavalan,750.0,mL,Kavalan Single Malt Whisky Concertmaster Port Cask Finish 750 ML,Kavalan Single Malt Whisky Concertmaster Port Cask Finish 750 ML,,EACH,6,43.0,,USA,Whisky & Bourbon
04710085219582,,Kavalan,750.0,mL,Kavalan Oloroso Sherry Oak Cask Strength 750 ML,Kavalan Oloroso Sherry Oak Cask Strength 750 ML,,EACH,6,58.6,,USA,Whisky & Bourbon
10872291502979,,Hirsch,750.0,mL,Hirsch Straight Bourbon the Cask Strength 750 ML,Hirsch Straight Bourbon the Cask Strength 750 ML,,EACH,6,63.5,,USA,Spirits
