GTIN,Manufacturer Name,Brand,Volume,Volume Code,Name Public Long,Name Public Short,Functional Name,Packaging Type Code,Useable Units,Ratio Alcohol,Packaging Information,Country of Origin,Alcohol Kind
00818844023143,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Original Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Original Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00818844023150,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Peach Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Peach Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00818844023167,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Pineapple Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Pineapple Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00818844022771,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Strawberry Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Strawberry Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538011129,Proximo Spirits Inc,Jose Cuervo®,375.0,mL,Jose Cuervo® Authentic Margarita Strawberry Lime Ready to Drink Cocktail - 375 ml,Jose Cuervo® Authentic Margarita Strawberry Lime Ready to Drink Cocktail - 375 ml,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00887341340077,Campari America LLC,Aperol,0.2,L,"Aperol Spritz RTS, 200ml",Low alcoholic aperitif,,EACH,1,1800.0,,USA,"Punch, Cocktail & Premix"
00018200204227,"Anheuser-Busch, Inc.",Nutrl,12.0,fl. oz,Nutrl Real Juice Black Cherry Vodka Seltzer 4 - 12 fl oz Cans,Real Juice Black Cherry Vodka Seltzer 4 - 12 fl oz Cans,,EACH,4,4.5,,USA,"Punch, Cocktail & Premix"
00018200204005,"Anheuser-Busch, Inc.",Los Sundays,12.0,fl. oz,Los Sundays Tequila Seltzer Variety Pack 8 - 12 fl oz Cans,Tequila Seltzer Variety Pack 8 -12 fl oz Cans,,EACH,8,5.0,,USA,"Punch, Cocktail & Premix"
00080480986216,Bacardi USA,Bombay,250.0,mL,Bombay Sapphire Light 4Pk,BOMBAY SAPPHI&TONIC LIGHT,,EACH,1,5.9,,USA,"Punch, Cocktail & Premix"
00080480985400,Bacardi USA,Bacardí,355.0,mL,"Bacardi Rum Punch Ready To Drink Real Rum Cocktail, Gluten Free 5.9% 35.5Cl/355Ml",BACARDI RUM PUNCH,,EACH,1,5.9,,USA,"Punch, Cocktail & Premix"
00811538018920,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Mango Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Mango Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538013819,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Raspberry Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Raspberry Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538016445,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Watermelon Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Watermelon Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00818844021415,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Black Cherry Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Black Cherry Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538012867,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Peach Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Peach Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
